"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.683044440E-1,3.182525635E-1,3.900299072E-1,9.690933228E0,9.703998910E0
1.706542970E-1,3.254241943E-1,4.115600586E-1,9.719650269E0,9.733801104E0
1.729736330E-1,3.302154541E-1,4.019927979E-1,9.734008789E0,9.747900675E0
1.753234870E-1,3.134613037E-1,4.091796875E-1,9.741180420E0,9.754808147E0
1.776733400E-1,2.799530029E-1,4.283142090E-1,9.750747681E0,9.764164433E0
1.799926760E-1,2.584228516E-1,4.498443604E-1,9.736389160E0,9.750200829E0
1.823425290E-1,2.560272217E-1,4.833526611E-1,9.686141968E0,9.701573375E0
1.846618650E-1,2.656097412E-1,4.833526611E-1,9.640686035E0,9.656448910E0
1.870117190E-1,2.560272217E-1,5.001068115E-1,9.585647583E0,9.602098539E0
1.893615720E-1,2.321014404E-1,5.264282227E-1,9.540191650E0,9.557523449E0
1.916809080E-1,2.225341797E-1,5.383911133E-1,9.506683350E0,9.524516511E0
1.940307620E-1,2.225341797E-1,5.551300049E-1,9.473190308E0,9.492050642E0
1.963500980E-1,2.249298096E-1,5.599212646E-1,9.408584595E0,9.427914367E0
1.986999510E-1,2.297058105E-1,5.527496338E-1,9.382263184E0,9.401338169E0
2.010498050E-1,2.416687012E-1,5.718841553E-1,9.310470581E0,9.331147716E0
2.033691410E-1,2.416687012E-1,5.838470459E-1,9.250656128E0,9.272212246E0
2.057189940E-1,2.464599609E-1,5.814514160E-1,9.205184937E0,9.226822746E0
2.080383300E-1,2.321014404E-1,5.838470459E-1,9.159729004E0,9.181251760E0
2.103881840E-1,2.297058105E-1,5.838470459E-1,9.114257812E0,9.135827144E0
2.127380370E-1,2.344970703E-1,5.670928955E-1,9.056838989E0,9.077605175E0
2.150573730E-1,2.177429199E-1,5.814514160E-1,9.018554688E0,9.039901901E0
2.174072270E-1,2.081756592E-1,5.886383057E-1,8.982650757E0,9.004323782E0
2.197265630E-1,1.794586182E-1,6.029968262E-1,8.944366455E0,8.966465405E0
2.220764160E-1,1.818542480E-1,6.221313477E-1,8.913269043E0,8.936804989E0
2.244262700E-1,1.698913574E-1,6.101684570E-1,8.898910522E0,8.921422370E0
2.267456060E-1,1.531372070E-1,6.029968262E-1,8.874984741E0,8.896764037E0
2.290954590E-1,1.076812744E-1,5.838470459E-1,8.879760742E0,8.899585578E0
2.314453130E-1,7.177734375E-2,5.862426758E-1,8.882156372E0,8.901771412E0
2.337646490E-1,4.785156250E-2,5.742797852E-1,8.922836304E0,8.941425767E0
2.361145020E-1,4.785156250E-2,5.790557861E-1,8.961120605E0,8.979937521E0
2.384338380E-1,3.349304199E-2,5.647125244E-1,9.001800537E0,9.019558466E0
2.407836920E-1,1.914978027E-2,5.694885254E-1,9.030517578E0,9.048476757E0
2.431335450E-1,-4.791259766E-3,5.838470459E-1,9.095123291E0,9.113844853E0
2.454528810E-1,-5.024719238E-2,5.814514160E-1,9.176467896E0,9.195008079E0
2.478027350E-1,-8.613586426E-2,5.982055664E-1,9.257827759E0,9.277534376E0
2.501220700E-1,-1.076812744E-1,5.862426758E-1,9.303298950E0,9.322373469E0
2.524719240E-1,-1.411743164E-1,5.934143066E-1,9.375076294E0,9.394898948E0
