"Time (s)","Pressure (hPa)"
1.430416301E1,9.872591553E2
1.434261516E1,9.872591553E2
1.438158611E1,9.872591553E2
1.441951946E1,9.872732544E2
1.445797161E1,9.872732544E2
1.449645427E1,9.872732544E2
1.453487590E1,9.872732544E2
1.457332805E1,9.872819214E2
1.461178020E1,9.872819214E2
1.465023235E1,9.872819214E2
1.468868450E1,9.872819214E2
1.472713665E1,9.872819214E2
1.476561931E1,9.872894287E2
1.480404094E1,9.872894287E2
1.484249309E1,9.872894287E2
1.488094524E1,9.872894287E2
1.491939739E1,9.872965698E2
1.495784954E1,9.872965698E2
1.499630168E1,9.872965698E2
1.503475383E1,9.872965698E2
1.507351116E1,9.873127441E2
1.511165813E1,9.873127441E2
1.515011028E1,9.873127441E2
1.518856243E1,9.873127441E2
1.522701458E1,9.873127441E2
1.526546672E1,9.873173218E2
1.530391887E1,9.873173218E2
1.534240154E1,9.873173218E2
1.538082317E1,9.873173218E2
1.541927532E1,9.873231201E2
1.545772747E1,9.873231201E2
1.549617961E1,9.873231201E2
1.553463176E1,9.873231201E2
1.557308391E1,9.873322754E2
1.561156658E1,9.873322754E2
1.564998821E1,9.873322754E2
1.568844036E1,9.873322754E2
1.572689250E1,9.873357544E2
1.576537517E1,9.873357544E2
1.580376628E1,9.873357544E2
1.584221843E1,9.873357544E2
1.588070110E1,9.873357544E2
1.591918377E1,9.873446655E2
1.595760540E1,9.873446655E2
1.599605754E1,9.873446655E2
1.603450969E1,9.873446655E2
1.607296184E1,9.873504639E2
1.611141399E1,9.873504639E2
1.614986614E1,9.873504639E2
1.618834880E1,9.873504639E2
1.622677044E1,9.873651123E2
1.626522258E1,9.873651123E2
1.630367473E1,9.873651123E2
1.634212688E1,9.873651123E2
1.638057903E1,9.873651123E2
1.641903118E1,9.873754883E2
1.645748333E1,9.873754883E2
1.649596599E1,9.873754883E2
1.653438762E1,9.873754883E2
1.657283977E1,9.873884277E2
1.661129192E1,9.873884277E2
1.664974407E1,9.873884277E2
1.668819622E1,9.873884277E2
1.672664836E1,9.873939209E2
1.676513103E1,9.873939209E2
1.680355266E1,9.873939209E2
1.684200481E1,9.873939209E2
1.688045696E1,9.873939209E2
1.691890911E1,9.873981934E2
1.695736126E1,9.873981934E2
1.699581340E1,9.873981934E2
1.703426555E1,9.873981934E2
1.707274822E1,9.874091797E2
1.711165813E1,9.874091797E2
1.714962200E1,9.874091797E2
1.718807415E1,9.874091797E2
1.722652629E1,9.874146118E2
1.726497844E1,9.874146118E2
1.730343059E1,9.874146118E2
1.734191326E1,9.874146118E2
1.738033489E1,9.874146118E2
1.741878704E1,9.874255371E2
1.745723919E1,9.874255371E2
1.749569133E1,9.874255371E2
1.753414348E1,9.874255371E2
1.757259563E1,9.874350586E2
1.761104778E1,9.874350586E2
1.764953044E1,9.874350586E2
1.768795208E1,9.874350586E2
1.772640422E1,9.874422607E2
1.776485637E1,9.874422607E2
1.780343059E1,9.874422607E2
1.784176067E1,9.874422607E2
1.788021282E1,9.874422607E2
1.791869548E1,9.874462891E2
1.795711711E1,9.874462891E2
1.799553874E1,9.874462891E2
1.803402141E1,9.874462891E2
1.807247356E1,9.874558105E2
1.811092571E1,9.874558105E2
1.814937786E1,9.874558105E2
1.818786052E1,9.874558105E2
